"spkid","neo","pha","full_name","diameter","class","H","G","albedo","BV","UB","e","a","q","i","per_y","moid","ad","first_obs"
3334361,Y,N,"       (2006 KS38)",,APO,23.90,,,,,0.4561,1.431,0.778,28.71,1.71,0.0223,2.08,2006-05-23
3334434,Y,N,"       (2006 KA40)",,AMO,19.40,,,,,0.4823,2.354,1.219,4.98,3.61,0.227,3.49,1999-11-15
3334435,Y,N,"       (2006 KC40)",,APO,23.20,,,,,0.5293,1.669,0.785,8.82,2.16,0.027,2.55,2006-05-25
3334436,Y,Y,"       (2006 KD40)",,APO,18.59,,,,,0.5124,2.017,0.984,21.10,2.87,0.0365,3.05,2003-03-22
3334438,Y,N,"       (2006 KY67)",,APO,23.00,,,,,0.5353,2.072,0.963,3.04,2.98,0.0221,3.18,2006-05-26
3335045,Y,N,"       (2006 KJ89)",,AMO,23.90,,,,,0.5454,2.383,1.083,2.99,3.68,0.0865,3.68,2006-05-26
3335046,Y,N,"       (2006 KK89)",,APO,22.50,,,,,0.1790,1.031,0.846,17.06,1.05,0.101,1.22,2006-05-28
3335047,Y,N,"       (2006 KL89)",0.965,AMO,18.62,,0.056,,,0.5383,2.76,1.274,13.74,4.58,0.274,4.25,2006-05-28
3335048,Y,N,"       (2006 KM89)",,AMO,23.60,,,,,0.2753,1.598,1.158,3.05,2.02,0.146,2.04,2006-05-29
3335049,Y,Y,"       (2006 KN89)",,APO,21.40,,,,,0.5316,1.793,0.840,5.82,2.4,0.0249,2.75,2006-05-29
3335226,Y,N,"       (2006 KF100)",,AMO,20.20,,,,,0.3716,1.891,1.188,24.48,2.6,0.318,2.59,2006-05-30
3335227,Y,N,"       (2006 KK103)",,AMO,22.50,,,,,0.4628,2.13,1.144,8.13,3.11,0.143,3.12,2006-05-26
3335302,Y,N,"       (2006 KL103)",,AMO,25.50,,,,,0.2851,1.449,1.036,0.35,1.74,0.0251,1.86,2006-05-31
3335422,Y,N,"       (2006 KY112)",,AMO,21.30,,,,,0.2509,1.438,1.077,20.19,1.72,0.0655,1.80,2006-05-31
3335304,Y,N,"       (2006 LA)",,APO,18.60,,,,,0.8478,1.697,0.258,10.87,2.21,0.0629,3.14,2006-06-01
3335305,Y,N,"       (2006 LB)",,AMO,23.80,,,,,0.3234,1.678,1.135,6.96,2.17,0.122,2.22,2006-06-01
3335306,Y,N,"       (2006 LC)",,APO,23.10,,,,,0.3578,1.482,0.952,11.77,1.8,0.0306,2.01,2006-06-01
3335421,Y,N,"       (2006 LD)",,AMO,23.50,,,,,0.1007,1.231,1.107,24.55,1.37,0.0942,1.35,2006-06-01
3335423,Y,N,"       (2006 LF)",,APO,18.73,,,,,0.6532,2.144,0.744,7.98,3.14,0.121,3.54,2002-12-19
3335553,Y,N,"       (2006 LH)",,APO,24.80,,,,,0.3159,1.085,0.742,7.82,1.13,0.00863,1.43,2006-06-01
3335424,Y,Y,"       (2006 LK)",,AMO,19.70,,,,,0.6387,2.858,1.033,10.18,4.83,0.033,4.68,2006-06-01
3335555,Y,N,"       (2006 LM)",,APO,25.00,,,,,0.4323,1.712,0.972,6.67,2.24,0.00811,2.45,2006-06-03
3335613,Y,Y,"       (2006 LD1)",,APO,20.90,,,,,0.7012,2.317,0.692,5.96,3.53,0.017,3.94,2006-06-03
3336867,Y,N,"       (2006 MB)",,AMO,22.60,,,,,0.0830,1.114,1.021,14.43,1.18,0.0615,1.21,2006-06-18
3336903,Y,N,"       (2006 MV1)",,APO,26.80,,,,,0.2418,1.317,0.999,4.27,1.51,0.00704,1.64,2006-06-19
3336904,Y,N,"       (2006 MW1)",,AMO,19.81,,,,,0.5192,2.417,1.162,19.54,3.76,0.147,3.67,2006-06-19
3337025,Y,N,"       (2006 MY1)",,AMO,22.20,,,,,0.4350,2.05,1.158,3.09,2.94,0.15,2.94,2006-04-07
3337063,Y,N,"       (2006 MS6)",,AMO,19.21,,,,,0.5715,2.634,1.129,21.41,4.28,0.114,4.14,2006-06-20
3337064,Y,N,"       (2006 MT6)",,AMO,19.56,,,,,0.5515,2.803,1.257,6.10,4.69,0.243,4.35,2006-06-21
3337145,Y,N,"       (2006 MH10)",,AMO,22.06,,,,,0.1556,1.246,1.052,13.35,1.39,0.125,1.44,2006-06-22
3337292,Y,N,"       (2006 MX13)",,AMO,19.81,,,,,0.4675,2.173,1.157,5.75,3.2,0.161,3.19,2006-06-27
3337293,Y,N,"       (2006 MY13)",,APO,20.30,,,,,0.6089,1.263,0.494,45.06,1.42,0.196,2.03,2006-06-27
3337294,Y,N,"       (2006 MA14)",,AMO,21.50,,,,,0.4909,2.12,1.079,7.44,3.09,0.0811,3.16,2006-06-28
3337315,Y,N,"       (2006 MB14)",,APO,25.40,,,,,0.1143,1.034,0.916,19.53,1.05,0.00407,1.15,2006-06-30
3337325,Y,N,"       (2006 NL)",,ATE,19.97,,,,,0.5758,0.8477,0.360,20.08,0.781,0.0562,1.34,2006-07-02
3337559,Y,N,"       (2006 OA1)",,APO,22.30,,,,,0.2652,1.382,1.015,35.73,1.62,0.1,1.75,2006-07-18
3337560,Y,N,"       (2006 OM1)",,AMO,21.60,,,,,0.3873,1.74,1.066,33.30,2.3,0.105,2.41,2006-07-18
3337561,Y,Y,"       (2006 ON1)",,APO,21.30,,,,,0.6093,2.554,0.998,3.50,4.08,0.0332,4.11,2006-07-19
3337591,Y,N,"       (2006 OK3)",,APO,27.10,,,,,0.5190,1.678,0.807,12.17,2.17,0.0015,2.55,2006-07-22
3337592,Y,N,"       (2006 OX4)",,AMO,21.10,,,,,0.2642,1.605,1.181,18.53,2.03,0.173,2.03,2006-07-19
3337593,Y,N,"       (2006 OY4)",,AMO,23.60,,,,,0.5353,2.368,1.100,2.94,3.64,0.0956,3.64,2006-07-20
3337594,Y,N,"       (2006 OZ4)",,APO,21.70,,,,,0.4287,1.019,0.582,17.24,1.03,0.12,1.46,2006-07-21
3337598,Y,N,"       (2006 OD5)",,AMO,19.50,,,,,0.5408,2.677,1.229,10.30,4.38,0.257,4.12,2006-07-21
3337599,Y,N,"       (2006 OF5)",1.415,AMO,19.24,,0.017,,,0.5372,2.753,1.274,10.16,4.57,0.266,4.23,2006-07-21
3337629,Y,N,"       (2006 OV5)",,AMO,19.10,,,,,0.5745,2.699,1.149,15.26,4.43,0.16,4.25,2006-07-21
3337711,Y,N,"       (2006 OB7)",,AMO,23.90,,,,,0.5105,2.107,1.032,6.59,3.06,0.0313,3.18,2006-07-24
3337712,Y,N,"       (2006 OC7)",,AMO,22.70,,,,,0.5247,2.2,1.046,11.01,3.26,0.0454,3.35,2006-07-24
3337714,Y,N,"       (2006 OE7)",,APO,19.99,,,,,0.7781,1.535,0.341,10.39,1.9,0.0903,2.73,2006-07-24
3337733,Y,N,"       (2006 OS9)",,APO,18.44,,,,,0.9063,2.74,0.257,19.25,4.54,0.0891,5.22,1997-08-01
3337734,Y,N,"       (2006 OT9)",,APO,19.94,,,,,0.1820,1.124,0.920,14.56,1.19,0.0616,1.33,2006-07-25
3337735,Y,N,"       (2006 OE10)",,AMO,24.90,,,,,0.3579,1.651,1.060,2.48,2.12,0.0479,2.24,2006-07-26
3337834,Y,N,"       (2006 OG15)",0.365,APO,19.82,,0.159,,,0.6309,2.54,0.938,17.13,4.05,0.193,4.14,2006-07-30
3337992,Y,Y,"       (2006 PA1)",,APO,19.82,,,,,0.5505,2.034,0.914,2.43,2.9,0.0298,3.15,2006-07-20
3337993,Y,N,"       (2006 PB1)",,AMO,19.20,,,,,0.5938,3.01,1.223,15.34,5.22,0.366,4.80,2002-01-09
3337999,Y,N,"       (2006 PF1)",,APO,19.57,,,,,0.8753,2.191,0.273,14.52,3.24,0.13,4.11,2006-08-15
3338022,Y,N,"       (2006 QA)",,AMO,23.20,,,,,0.6221,2.769,1.046,5.31,4.61,0.0605,4.49,2006-08-16
3338034,Y,N,"       (2006 QE)",,APO,19.68,,,,,0.5034,1.139,0.566,27.24,1.22,0.139,1.71,2006-08-17
3338137,Y,N,"       (2006 QX5)",,AMO,23.80,,,,,0.4545,2.122,1.158,5.99,3.09,0.147,3.09,2006-08-19
3338138,Y,N,"       (2006 QY5)",,AMO,21.30,,,,,0.3425,1.899,1.248,1.73,2.62,0.249,2.55,2002-01-10
